target,length,steps,student3_steps,student3_time,student3_correct
00010,5,2,2.0,1.6689300537109375e-05,1.0
11111,5,3,3.0,1.9788742065429688e-05,1.0
10000,5,2,2.0,1.1920928955078125e-05,1.0
111001,6,3,3.0,2.09808349609375e-05,1.0
000011,6,3,3.0,3.600120544433594e-05,1.0
110100,6,3,3.0,2.4080276489257812e-05,1.0
0100001,7,3,3.0,2.9802322387695312e-05,1.0
0010001,7,3,3.0,3.409385681152344e-05,1.0
1111000,7,4,4.0,4.291534423828125e-05,1.0
10101110,8,4,4.0,3.314018249511719e-05,1.0
11111011,8,4,4.0,4.601478576660156e-05,1.0
00010011,8,4,4.0,6.103515625e-05,1.0
110010010,9,4,4.0,6.818771362304688e-05,1.0
011101110,9,3,3.0,5.2928924560546875e-05,1.0
111000100,9,5,5.0,0.0001010894775390625,1.0
1100000101,10,5,5.0,0.00011110305786132812,1.0
1011010101,10,3,3.0,4.1961669921875e-05,1.0
1110001101,10,5,5.0,0.00012803077697753906,1.0
